
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.313	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Micro/Minisensor (normal range)	raw value	ON	ZA7-519-205	3	OFF	13.000	OFF	1000	0.000	10%	400x	10	OFF	2.00	
Ch 3	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-536-206	3	OFF	13.000	OFF	1000	0.000	10%	400x	10	OFF	2.00	
Ch 4	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-532-206	3	OFF	13.000	OFF	1000	0.000	10%	400x	10	OFF	2.00	
Temp.	Sensor	Measuring	Time (ms):	100	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1000	100.000	20.950	51.718	21.095	0.817	0.106	4000	0.953	-0.070	0.000	0.000	-0.000301	0.000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1000	100.000	20.950	51.064	21.345	0.817	0.106	4000	0.953	-0.070	0.000	0.000	-0.000301	0.000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	25.000	25.000	1000	100.000	20.950	50.483	21.602	0.817	0.106	4000	0.953	-0.070	0.000	0.000	-0.000301	0.000	
Data	Smoothing:	1	
Date:	05/06/2021	
			 		Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
05/06/2021	14:43:21	0.00		---	17.692	25.891	26.931	---	13.000	13.000	13.000	---	---	---	---	---	---	24.035	20.040	19.886	---	33.569	100.708	81.127	---	19.605	5.053	35.615	
05/06/2021	14:43:22	1.00		---	17.326	25.804	27.051	---	13.000	13.000	13.000	---	---	---	---	---	---	24.277	20.076	19.840	---	33.964	100.677	81.027	---	19.689	5.042	35.782	
05/06/2021	14:43:23	2.00		---	17.280	25.855	26.853	---	13.000	13.000	13.000	---	---	---	---	---	---	24.309	20.055	19.917	---	33.986	100.724	81.032	---	19.624	5.009	35.413	
05/06/2021	14:43:24	3.00		---	17.296	25.766	27.000	---	13.000	13.000	13.000	---	---	---	---	---	---	24.298	20.091	19.860	---	33.930	100.680	81.114	---	19.525	5.115	36.252	
05/06/2021	14:43:25	4.00		---	17.217	25.886	26.914	---	13.000	13.000	13.000	---	---	---	---	---	---	24.350	20.041	19.893	---	34.060	100.691	81.114	---	19.174	5.120	36.158	
05/06/2021	14:43:26	5.00		---	17.251	25.840	27.013	---	13.000	13.000	13.000	---	---	---	---	---	---	24.327	20.061	19.854	---	34.036	100.787	81.106	---	19.321	5.122	36.106	
05/06/2021	14:43:27	6.00		---	17.128	25.780	26.964	---	13.000	13.000	13.000	---	---	---	---	---	---	24.410	20.086	19.874	---	34.176	100.749	81.127	---	19.223	5.179	35.748	
05/06/2021	14:43:28	7.00		---	16.897	25.780	27.010	---	13.000	13.000	13.000	---	---	---	---	---	---	24.569	20.086	19.856	---	34.272	100.753	81.162	---	19.078	5.208	35.879	
05/06/2021	14:43:29	8.00		---	16.971	25.809	26.898	---	13.000	13.000	13.000	---	---	---	---	---	---	24.517	20.073	19.899	---	34.368	100.754	81.021	---	19.043	5.058	34.040	
05/06/2021	14:43:30	9.00		---	16.914	25.773	27.041	---	13.000	13.000	13.000	---	---	---	---	---	---	24.556	20.089	19.843	---	34.342	100.734	81.117	---	19.566	4.951	33.435	
05/06/2021	14:43:30	9.33		---	17.013	25.704	27.092	---	13.000	13.000	13.000	---	---	---	---	---	---	24.489	20.118	19.823	---	34.217	100.705	81.081	---	19.556	4.952	33.370	
05/06/2021	14:43:30	9.50		---	17.256	25.699	26.970	---	13.000	13.000	13.000	---	---	---	---	---	---	24.325	20.120	19.871	---	34.063	100.745	81.133	---	19.544	4.938	33.301	
05/06/2021	14:43:31	9.75		---	17.331	25.735	27.010	---	13.000	13.000	13.000	---	---	---	---	---	---	24.274	20.104	19.856	---	33.817	100.712	81.027	---	19.498	5.073	35.839	
05/06/2021	14:43:31	10.00		---	17.439	25.725	27.172	---	13.000	13.000	13.000	---	---	---	---	---	---	24.202	20.108	19.792	---	33.728	100.745	81.195	---	19.339	5.229	36.540	
05/06/2021	14:43:31	10.25		---	17.558	25.749	26.977	---	13.000	13.000	13.000	---	---	---	---	---	---	24.124	20.099	19.868	---	33.731	100.810	81.030	---	19.495	5.238	37.109	
