
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.313	with	FireStingO2	(Firmware	3.10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Micro/Minisensor (normal range)	raw value	ON	ZA7-519-205	3	OFF	10.300	OFF	1000	0.000	10%	400x	10	OFF	2.00	
Temp.	Sensor	Measuring	Time (ms):	100	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	18.000	18.000	1020	100.000	20.950	51.265	22.843	0.817	0.106	4000	0.953	-0.070	0.000	0.000	-0.000301	0.000	
Data	Smoothing:	1	
Date:	21/04/2021	
			 		Oxygen			Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
21/04/2021	11:32:54	0.00		---	27.578	---	---	---	10.300	---	---	---	---	---	---	---	---	20.712	---	---	---	54.972	---	---	---	133.110	---	---	
21/04/2021	11:32:54	0.25		---	27.600	---	---	---	10.300	---	---	---	---	---	---	---	---	20.704	---	---	---	54.945	---	---	---	132.553	---	---	
21/04/2021	11:32:55	0.50		---	27.613	---	---	---	10.300	---	---	---	---	---	---	---	---	20.698	---	---	---	54.818	---	---	---	132.357	---	---	
21/04/2021	11:32:55	0.75		---	27.582	---	---	---	10.300	---	---	---	---	---	---	---	---	20.711	---	---	---	54.895	---	---	---	132.738	---	---	
21/04/2021	11:32:55	1.00		---	27.638	---	---	---	10.300	---	---	---	---	---	---	---	---	20.688	---	---	---	54.930	---	---	---	132.591	---	---	
21/04/2021	11:32:55	1.25		---	27.689	---	---	---	10.300	---	---	---	---	---	---	---	---	20.669	---	---	---	54.973	---	---	---	132.257	---	---	
21/04/2021	11:32:56	1.50		---	27.502	---	---	---	10.300	---	---	---	---	---	---	---	---	20.743	---	---	---	55.025	---	---	---	132.452	---	---	
21/04/2021	11:32:56	1.75		---	27.459	---	---	---	10.300	---	---	---	---	---	---	---	---	20.760	---	---	---	55.098	---	---	---	132.521	---	---	
21/04/2021	11:32:56	2.00		---	27.628	---	---	---	10.300	---	---	---	---	---	---	---	---	20.693	---	---	---	55.016	---	---	---	132.240	---	---	
21/04/2021	11:32:56	2.25		---	27.489	---	---	---	10.300	---	---	---	---	---	---	---	---	20.747	---	---	---	54.936	---	---	---	132.523	---	---	
21/04/2021	11:32:57	2.50		---	27.766	---	---	---	10.300	---	---	---	---	---	---	---	---	20.638	---	---	---	54.904	---	---	---	132.853	---	---	
21/04/2021	11:32:57	2.75		---	27.474	---	---	---	10.300	---	---	---	---	---	---	---	---	20.753	---	---	---	54.869	---	---	---	132.305	---	---	
21/04/2021	11:32:57	3.00		---	27.694	---	---	---	10.300	---	---	---	---	---	---	---	---	20.666	---	---	---	54.953	---	---	---	132.412	---	---	
21/04/2021	11:32:57	3.25		---	27.509	---	---	---	10.300	---	---	---	---	---	---	---	---	20.739	---	---	---	54.944	---	---	---	132.471	---	---	
21/04/2021	11:32:58	3.50		---	27.582	---	---	---	10.300	---	---	---	---	---	---	---	---	20.711	---	---	---	54.939	---	---	---	132.451	---	---	
21/04/2021	11:32:58	3.75		---	27.755	---	---	---	10.300	---	---	---	---	---	---	---	---	20.642	---	---	---	54.798	---	---	---	132.584	---	---	
21/04/2021	11:32:58	4.00		---	27.717	---	---	---	10.300	---	---	---	---	---	---	---	---	20.658	---	---	---	54.727	---	---	---	132.445	---	---	
