
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3,317	with	FireStingO2	(Firmware	3,10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 3	Oxygen Micro/Minisensor (normal range)	raw value	ON	ZA7-519-205	3	OFF	9,800	OFF	992	0,000	10%	400x	10	OFF	2,00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0,000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	18,602	17,947	1020	100,000	20,950	52,352	21,650	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Data	Smoothing:	1	
Date:	29/04/2021	
			 			Oxygen		Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
29/04/2021	09:52:10	0,00		---	---	20,754	---	---	---	9,800	---	---	---	---	---	---	---	---	22,843	---	---	---	36,467	---	---	---	133,237	---	
29/04/2021	09:52:10	0,25		---	---	20,761	---	---	---	9,800	---	---	---	---	---	---	---	---	22,839	---	---	---	36,407	---	---	---	132,735	---	
29/04/2021	09:52:10	0,50		---	---	20,746	---	---	---	9,800	---	---	---	---	---	---	---	---	22,847	---	---	---	36,437	---	---	---	131,871	---	
29/04/2021	09:52:10	0,75		---	---	20,757	---	---	---	9,800	---	---	---	---	---	---	---	---	22,840	---	---	---	36,477	---	---	---	131,274	---	
29/04/2021	09:52:11	1,00		---	---	20,649	---	---	---	9,800	---	---	---	---	---	---	---	---	22,900	---	---	---	36,740	---	---	---	130,068	---	
29/04/2021	09:52:11	1,25		---	---	20,891	---	---	---	9,800	---	---	---	---	---	---	---	---	22,767	---	---	---	36,729	---	---	---	128,544	---	
29/04/2021	09:52:11	1,50		---	---	21,047	---	---	---	9,800	---	---	---	---	---	---	---	---	22,681	---	---	---	36,858	---	---	---	127,093	---	
29/04/2021	09:52:11	1,75		---	---	20,790	---	---	---	9,800	---	---	---	---	---	---	---	---	22,822	---	---	---	36,745	---	---	---	125,569	---	
29/04/2021	09:52:12	2,00		---	---	20,737	---	---	---	9,800	---	---	---	---	---	---	---	---	22,851	---	---	---	36,589	---	---	---	124,070	---	
29/04/2021	09:52:12	2,25		---	---	20,826	---	---	---	9,800	---	---	---	---	---	---	---	---	22,802	---	---	---	36,492	---	---	---	122,591	---	
29/04/2021	09:52:12	2,50		---	---	20,837	---	---	---	9,800	---	---	---	---	---	---	---	---	22,797	---	---	---	36,493	---	---	---	121,070	---	
29/04/2021	09:52:12	2,75		---	---	20,764	---	---	---	9,800	---	---	---	---	---	---	---	---	22,836	---	---	---	36,537	---	---	---	119,783	---	
29/04/2021	09:52:13	3,00		---	---	20,830	---	---	---	9,800	---	---	---	---	---	---	---	---	22,801	---	---	---	36,548	---	---	---	118,460	---	
29/04/2021	09:52:13	3,25		---	---	20,689	---	---	---	9,800	---	---	---	---	---	---	---	---	22,878	---	---	---	36,652	---	---	---	117,600	---	
29/04/2021	09:52:13	3,50		---	---	20,797	---	---	---	9,800	---	---	---	---	---	---	---	---	22,819	---	---	---	36,619	---	---	---	116,798	---	
29/04/2021	09:52:13	3,75		---	---	20,714	---	---	---	9,800	---	---	---	---	---	---	---	---	22,864	---	---	---	36,473	---	---	---	115,762	---	
29/04/2021	09:52:14	4,00		---	---	20,744	---	---	---	9,800	---	---	---	---	---	---	---	---	22,847	---	---	---	36,590	---	---	---	114,998	---	
29/04/2021	09:52:14	4,25		---	---	20,808	---	---	---	9,800	---	---	---	---	---	---	---	---	22,812	---	---	---	36,410	---	---	---	114,086	---	
29/04/2021	09:52:14	4,50		---	---	20,886	---	---	---	9,800	---	---	---	---	---	---	---	---	22,770	---	---	---	36,341	---	---	---	113,155	---	
29/04/2021	09:52:14	4,75		---	---	20,937	---	---	---	9,800	---	---	---	---	---	---	---	---	22,742	---	---	---	36,248	---	---	---	112,260	---	
29/04/2021	09:52:15	5,00		---	---	20,908	---	---	---	9,800	---	---	---	---	---	---	---	---	22,757	---	---	---	36,341	---	---	---	111,227	---	
29/04/2021	09:52:15	5,25		---	---	20,937	---	---	---	9,800	---	---	---	---	---	---	---	---	22,742	---	---	---	36,412	---	---	---	110,194	---	
29/04/2021	09:52:15	5,50		---	---	20,952	---	---	---	9,800	---	---	---	---	---	---	---	---	22,733	---	---	---	36,520	---	---	---	109,052	---	
29/04/2021	09:52:15	5,75		---	---	21,043	---	---	---	9,800	---	---	---	---	---	---	---	---	22,684	---	---	---	36,473	---	---	---	107,759	---	
29/04/2021	09:52:16	6,00		---	---	21,067	---	---	---	9,800	---	---	---	---	---	---	---	---	22,670	---	---	---	36,568	---	---	---	107,311	---	
29/04/2021	09:52:16	6,25		---	---	21,065	---	---	---	9,800	---	---	---	---	---	---	---	---	22,672	---	---	---	36,419	---	---	---	106,233	---	
29/04/2021	09:52:16	6,50		---	---	21,041	---	---	---	9,800	---	---	---	---	---	---	---	---	22,684	---	---	---	36,478	---	---	---	105,515	---	
29/04/2021	09:52:16	6,75		---	---	21,067	---	---	---	9,800	---	---	---	---	---	---	---	---	22,670	---	---	---	36,358	---	---	---	105,360	---	
29/04/2021	09:52:17	7,00		---	---	21,007	---	---	---	9,800	---	---	---	---	---	---	---	---	22,704	---	---	---	36,414	---	---	---	105,166	---	
29/04/2021	09:52:17	7,25		---	---	21,034	---	---	---	9,800	---	---	---	---	---	---	---	---	22,688	---	---	---	36,474	---	---	---	105,490	---	
29/04/2021	09:52:17	7,50		---	---	21,060	---	---	---	9,800	---	---	---	---	---	---	---	---	22,674	---	---	---	36,450	---	---	---	105,922	---	
29/04/2021	09:52:17	7,75		---	---	20,844	---	---	---	9,800	---	---	---	---	---	---	---	---	22,792	---	---	---	36,486	---	---	---	106,564	---	
29/04/2021	09:52:18	8,00		---	---	20,930	---	---	---	9,800	---	---	---	---	---	---	---	---	22,746	---	---	---	36,598	---	---	---	106,868	---	
29/04/2021	09:52:18	8,25		---	---	21,025	---	---	---	9,800	---	---	---	---	---	---	---	---	22,694	---	---	---	36,501	---	---	---	107,405	---	
29/04/2021	09:52:18	8,50		---	---	20,761	---	---	---	9,800	---	---	---	---	---	---	---	---	22,839	---	---	---	36,792	---	---	---	107,707	---	
29/04/2021	09:52:18	8,75		---	---	20,902	---	---	---	9,800	---	---	---	---	---	---	---	---	22,760	---	---	---	36,693	---	---	---	108,114	---	
29/04/2021	09:52:19	9,00		---	---	20,913	---	---	---	9,800	---	---	---	---	---	---	---	---	22,754	---	---	---	36,710	---	---	---	109,315	---	
29/04/2021	09:52:19	9,25		---	---	20,705	---	---	---	9,800	---	---	---	---	---	---	---	---	22,870	---	---	---	36,669	---	---	---	110,080	---	
29/04/2021	09:52:19	9,50		---	---	20,593	---	---	---	9,800	---	---	---	---	---	---	---	---	22,931	---	---	---	36,667	---	---	---	110,786	---	
29/04/2021	09:52:19	9,75		---	---	20,806	---	---	---	9,800	---	---	---	---	---	---	---	---	22,813	---	---	---	36,471	---	---	---	111,138	---	
29/04/2021	09:52:20	10,00		---	---	20,786	---	---	---	9,800	---	---	---	---	---	---	---	---	22,825	---	---	---	36,408	---	---	---	111,168	---	
29/04/2021	09:52:20	10,25		---	---	20,895	---	---	---	9,800	---	---	---	---	---	---	---	---	22,764	---	---	---	36,432	---	---	---	111,057	---	
29/04/2021	09:52:20	10,50		---	---	20,558	---	---	---	9,800	---	---	---	---	---	---	---	---	22,951	---	---	---	36,626	---	---	---	110,779	---	
29/04/2021	09:52:20	10,75		---	---	20,572	---	---	---	9,800	---	---	---	---	---	---	---	---	22,944	---	---	---	36,701	---	---	---	110,193	---	
29/04/2021	09:52:21	11,00		---	---	20,617	---	---	---	9,800	---	---	---	---	---	---	---	---	22,919	---	---	---	36,916	---	---	---	109,111	---	
29/04/2021	09:52:21	11,25		---	---	20,515	---	---	---	9,800	---	---	---	---	---	---	---	---	22,975	---	---	---	37,318	---	---	---	107,512	---	
29/04/2021	09:52:21	11,50		---	---	20,554	---	---	---	9,800	---	---	---	---	---	---	---	---	22,954	---	---	---	36,964	---	---	---	105,497	---	
29/04/2021	09:52:21	11,75		---	---	20,481	---	---	---	9,800	---	---	---	---	---	---	---	---	22,995	---	---	---	36,866	---	---	---	104,295	---	
29/04/2021	09:52:22	12,00		---	---	20,592	---	---	---	9,800	---	---	---	---	---	---	---	---	22,933	---	---	---	36,756	---	---	---	102,127	---	
29/04/2021	09:52:22	12,25		---	---	20,732	---	---	---	9,800	---	---	---	---	---	---	---	---	22,854	---	---	---	36,652	---	---	---	100,777	---	
29/04/2021	09:52:22	12,50		---	---	20,851	---	---	---	9,800	---	---	---	---	---	---	---	---	22,788	---	---	---	36,805	---	---	---	98,348	---	
