
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3,317	with	FireStingO2	(Firmware	3,10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 3	Oxygen Micro/Minisensor (normal range)	raw value	ON	ZA7-519-205	3	OFF	14,900	OFF	992	0,000	10%	400x	10	OFF	2,00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0,000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	18,602	17,947	1020	100,000	20,950	52,352	21,650	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Data	Smoothing:	1	
Date:	20/05/2021	
			 			Oxygen		Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
20/05/2021	15:16:27	0,00		---	---	14,255	---	---	---	14,900	---	---	---	14,925	---	---	---	---	26,577	---	---	---	61,131	---	---	---	36,565	---	
20/05/2021	15:16:35	8,00		---	---	14,324	---	---	---	14,900	---	---	---	14,922	---	---	---	---	26,520	---	---	---	61,091	---	---	---	43,675	---	
20/05/2021	15:16:43	16,00		---	---	14,318	---	---	---	14,900	---	---	---	14,930	---	---	---	---	26,525	---	---	---	60,972	---	---	---	36,628	---	
20/05/2021	15:16:51	24,00		---	---	14,380	---	---	---	14,900	---	---	---	14,935	---	---	---	---	26,475	---	---	---	60,977	---	---	---	31,722	---	
20/05/2021	15:16:59	32,00		---	---	14,366	---	---	---	14,900	---	---	---	14,920	---	---	---	---	26,486	---	---	---	61,030	---	---	---	39,603	---	
20/05/2021	15:17:07	40,00		---	---	14,182	---	---	---	14,900	---	---	---	14,930	---	---	---	---	26,638	---	---	---	61,123	---	---	---	43,120	---	
20/05/2021	15:17:15	48,00		---	---	14,311	---	---	---	14,900	---	---	---	14,925	---	---	---	---	26,531	---	---	---	61,118	---	---	---	56,670	---	
20/05/2021	15:17:23	56,00		---	---	14,276	---	---	---	14,900	---	---	---	14,928	---	---	---	---	26,561	---	---	---	60,845	---	---	---	67,791	---	
20/05/2021	15:17:31	64,00		---	---	14,388	---	---	---	14,900	---	---	---	14,933	---	---	---	---	26,468	---	---	---	60,671	---	---	---	68,388	---	
20/05/2021	15:17:39	72,00		---	---	14,366	---	---	---	14,900	---	---	---	14,930	---	---	---	---	26,486	---	---	---	60,741	---	---	---	73,957	---	
20/05/2021	15:17:47	80,00		---	---	14,398	---	---	---	14,900	---	---	---	14,935	---	---	---	---	26,459	---	---	---	60,556	---	---	---	68,556	---	
20/05/2021	15:17:55	88,00		---	---	14,234	---	---	---	14,900	---	---	---	14,928	---	---	---	---	26,596	---	---	---	60,736	---	---	---	68,083	---	
