07/10/2020 18:18:29;3,936204;%f3,548850;%f3,523026;%f-0,970017;
07/10/2020 18:18:29;4,297735;%f3,987852;%f3,936204;%f-0,985511;
07/10/2020 18:18:29;4,401030;%f4,065322;%f4,013675;%f-0,975182;
07/10/2020 18:18:29;4,452677;%f4,116970;%f4,039499;%f-0,964852;
07/10/2020 18:18:29;4,478501;%f4,142793;%f4,091146;%f-0,959688;
07/10/2020 18:18:29;4,504324;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:29;4,555971;%f4,220264;%f4,142793;%f-0,954523;
07/10/2020 18:18:29;4,555971;%f4,246088;%f4,168617;%f-0,949358;
07/10/2020 18:18:29;4,581795;%f4,220264;%f4,142793;%f-0,939029;
07/10/2020 18:18:29;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:29;4,633442;%f4,297735;%f4,246088;%f-0,949358;
07/10/2020 18:18:29;4,607619;%f4,297735;%f4,194441;%f-0,939029;
07/10/2020 18:18:29;4,607619;%f4,297735;%f4,220264;%f-0,944193;
07/10/2020 18:18:29;4,581795;%f4,271912;%f4,168617;%f-0,944193;
07/10/2020 18:18:29;4,401030;%f4,091146;%f3,962028;%f-0,949358;
07/10/2020 18:18:29;4,659266;%f4,323559;%f4,323559;%f-0,970017;
07/10/2020 18:18:30;4,530148;%f4,194441;%f4,116970;%f-0,954523;
07/10/2020 18:18:30;4,504324;%f4,168617;%f4,116970;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,142793;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,142793;%f4,065322;%f-0,964852;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,065322;%f-0,964852;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,065322;%f-0,964852;
07/10/2020 18:18:30;4,478501;%f4,142793;%f4,065322;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,504324;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:30;4,530148;%f4,194441;%f4,142793;%f-0,954523;
07/10/2020 18:18:30;4,530148;%f4,220264;%f4,142793;%f-0,954523;
07/10/2020 18:18:30;4,555971;%f4,220264;%f4,142793;%f-0,949358;
07/10/2020 18:18:30;4,581795;%f4,271912;%f4,168617;%f-0,939029;
07/10/2020 18:18:30;4,607619;%f4,271912;%f4,194441;%f-0,944193;
07/10/2020 18:18:30;4,633442;%f4,297735;%f4,220264;%f-0,939029;
07/10/2020 18:18:30;4,607619;%f4,297735;%f4,194441;%f-0,939029;
07/10/2020 18:18:30;4,607619;%f4,271912;%f4,194441;%f-0,944193;
07/10/2020 18:18:30;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:30;4,555971;%f4,246088;%f4,142793;%f-0,954523;
07/10/2020 18:18:30;4,530148;%f4,194441;%f4,116970;%f-0,954523;
07/10/2020 18:18:30;4,478501;%f4,142793;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,504324;%f4,194441;%f4,116970;%f-0,964852;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,504324;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,142793;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,065322;%f-0,964852;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,504324;%f4,194441;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,504324;%f4,194441;%f4,091146;%f-0,954523;
07/10/2020 18:18:30;4,555971;%f4,220264;%f4,142793;%f-0,954523;
07/10/2020 18:18:30;4,581795;%f4,246088;%f4,142793;%f-0,939029;
07/10/2020 18:18:30;4,426853;%f4,091146;%f4,013675;%f-0,949358;
07/10/2020 18:18:30;4,452677;%f4,142793;%f4,091146;%f-0,964852;
07/10/2020 18:18:30;4,452677;%f4,142793;%f4,065322;%f-0,959688;
07/10/2020 18:18:30;4,478501;%f4,168617;%f4,091146;%f-0,964852;
07/10/2020 18:18:30;4,452677;%f4,142793;%f4,091146;%f-0,964852;
07/10/2020 18:18:30;4,478501;%f4,142793;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,504324;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:30;4,530148;%f4,194441;%f4,091146;%f-0,939029;
07/10/2020 18:18:30;4,504324;%f4,194441;%f4,091146;%f-0,949358;
07/10/2020 18:18:30;4,659266;%f4,323559;%f4,271912;%f-0,954523;
07/10/2020 18:18:30;4,607619;%f4,271912;%f4,168617;%f-0,944193;
07/10/2020 18:18:30;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:30;4,555971;%f4,220264;%f4,168617;%f-0,949358;
07/10/2020 18:18:30;4,555971;%f4,220264;%f4,142793;%f-0,954523;
07/10/2020 18:18:31;4,530148;%f4,194441;%f4,116970;%f-0,954523;
07/10/2020 18:18:31;4,504324;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,065322;%f-0,964852;
07/10/2020 18:18:31;4,478501;%f4,142793;%f4,065322;%f-0,964852;
07/10/2020 18:18:31;4,478501;%f4,142793;%f4,065322;%f-0,964852;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,065322;%f-0,959688;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:31;4,504324;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:31;4,504324;%f4,194441;%f4,116970;%f-0,954523;
07/10/2020 18:18:31;4,530148;%f4,220264;%f4,142793;%f-0,954523;
07/10/2020 18:18:31;4,555971;%f4,220264;%f4,142793;%f-0,949358;
07/10/2020 18:18:31;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:31;4,607619;%f4,271912;%f4,194441;%f-0,939029;
07/10/2020 18:18:31;4,607619;%f4,271912;%f4,194441;%f-0,944193;
07/10/2020 18:18:31;4,607619;%f4,271912;%f4,194441;%f-0,939029;
07/10/2020 18:18:31;4,607619;%f4,271912;%f4,194441;%f-0,944193;
07/10/2020 18:18:31;4,581795;%f4,246088;%f4,168617;%f-0,949358;
07/10/2020 18:18:31;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:31;4,555971;%f4,246088;%f4,142793;%f-0,954523;
07/10/2020 18:18:31;4,530148;%f4,220264;%f4,116970;%f-0,954523;
07/10/2020 18:18:31;4,504324;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:31;4,452677;%f4,142793;%f4,039499;%f-0,954523;
07/10/2020 18:18:31;4,504324;%f4,194441;%f4,142793;%f-0,970017;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,065322;%f-0,964852;
07/10/2020 18:18:31;4,452677;%f4,168617;%f4,065322;%f-0,959688;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:31;4,504324;%f4,168617;%f4,116970;%f-0,959688;
07/10/2020 18:18:31;4,504324;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:31;4,504324;%f4,220264;%f4,116970;%f-0,954523;
07/10/2020 18:18:31;4,581795;%f4,246088;%f4,142793;%f-0,949358;
07/10/2020 18:18:31;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:31;4,581795;%f4,271912;%f4,168617;%f-0,944193;
07/10/2020 18:18:31;4,633442;%f4,271912;%f4,194441;%f-0,939029;
07/10/2020 18:18:31;4,607619;%f4,271912;%f4,194441;%f-0,944193;
07/10/2020 18:18:31;4,607619;%f4,271912;%f4,194441;%f-0,944193;
07/10/2020 18:18:31;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:31;4,581795;%f4,246088;%f4,168617;%f-0,949358;
07/10/2020 18:18:31;4,555971;%f4,220264;%f4,142793;%f-0,949358;
07/10/2020 18:18:31;4,530148;%f4,220264;%f4,116970;%f-0,954523;
07/10/2020 18:18:31;4,504324;%f4,194441;%f4,091146;%f-0,959688;
07/10/2020 18:18:31;4,426853;%f4,116970;%f4,013675;%f-0,954523;
07/10/2020 18:18:31;4,478501;%f4,168617;%f4,116970;%f-0,970017;
07/10/2020 18:18:31;4,478501;%f4,142793;%f4,013675;%f-0,933864;
07/10/2020 18:18:31;4,607619;%f4,297735;%f4,271912;%f-0,980346;
07/10/2020 18:18:31;4,530148;%f4,194441;%f4,091146;%f-0,939029;
07/10/2020 18:18:32;4,530148;%f4,194441;%f4,116970;%f-0,944193;
07/10/2020 18:18:32;4,633442;%f4,323559;%f4,271912;%f-0,949358;
07/10/2020 18:18:32;4,607619;%f4,297735;%f4,194441;%f-0,939029;
07/10/2020 18:18:32;4,607619;%f4,297735;%f4,194441;%f-0,939029;
07/10/2020 18:18:32;4,426853;%f4,116970;%f3,987852;%f-0,949358;
07/10/2020 18:18:32;4,659266;%f4,323559;%f4,323559;%f-0,964852;
07/10/2020 18:18:32;4,581795;%f4,271912;%f4,168617;%f-0,949358;
07/10/2020 18:18:32;4,530148;%f4,220264;%f4,142793;%f-0,949358;
07/10/2020 18:18:32;4,504324;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,116970;%f-0,954523;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,091146;%f-0,964852;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,065322;%f-0,964852;
07/10/2020 18:18:32;4,478501;%f4,142793;%f4,065322;%f-0,959688;
07/10/2020 18:18:32;4,478501;%f4,142793;%f4,065322;%f-0,959688;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,091146;%f-0,964852;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:32;4,504324;%f4,194441;%f4,091146;%f-0,954523;
07/10/2020 18:18:32;4,530148;%f4,194441;%f4,116970;%f-0,954523;
07/10/2020 18:18:32;4,530148;%f4,220264;%f4,142793;%f-0,949358;
07/10/2020 18:18:32;4,581795;%f4,271912;%f4,168617;%f-0,949358;
07/10/2020 18:18:32;4,607619;%f4,271912;%f4,194441;%f-0,944193;
07/10/2020 18:18:32;4,607619;%f4,297735;%f4,194441;%f-0,939029;
07/10/2020 18:18:32;4,607619;%f4,271912;%f4,194441;%f-0,939029;
07/10/2020 18:18:32;4,607619;%f4,271912;%f4,168617;%f-0,944193;
07/10/2020 18:18:32;4,581795;%f4,271912;%f4,168617;%f-0,944193;
07/10/2020 18:18:32;4,581795;%f4,246088;%f4,168617;%f-0,944193;
07/10/2020 18:18:32;4,555971;%f4,220264;%f4,142793;%f-0,949358;
07/10/2020 18:18:32;4,504324;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:32;4,530148;%f4,194441;%f4,142793;%f-0,959688;
07/10/2020 18:18:32;4,530148;%f4,194441;%f4,116970;%f-0,959688;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:32;4,504324;%f4,194441;%f4,091146;%f-0,964852;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,091146;%f-0,964852;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,091146;%f-0,959688;
07/10/2020 18:18:32;4,478501;%f4,168617;%f4,091146;%f-0,959688;
