
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3,317	with	FireStingO2	(Firmware	3,10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-536-206	3	OFF	21,000	OFF	1006	0,000	10%	400x	10	OFF	2,00	
Ch 3	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-501-213	3	OFF	21,000	OFF	1006	0,000	10%	400x	10	OFF	2,00	
Ch 4	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-532-206	3	OFF	21,000	OFF	1006	0,000	10%	400x	10	OFF	2,00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0,000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	52,587	22,237	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	44,848	22,566	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	51,947	22,603	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Data	Smoothing:	1	
Date:	08/10/2020	
			 		Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
08/10/2020	17:44:49	0,26		---	20,730	20,621	20,744	---	21,000	21,000	21,000	---	---	---	---	---	---	22,075	22,475	22,434	---	163,891	59,192	157,423	---	5,613	4,889	6,550	
08/10/2020	17:44:49	0,50		---	20,745	20,805	20,717	---	21,000	21,000	21,000	---	---	---	---	---	---	22,066	22,385	22,448	---	163,904	59,231	157,457	---	5,534	4,882	6,659	
08/10/2020	17:44:50	0,75		---	20,736	20,712	20,680	---	21,000	21,000	21,000	---	---	---	---	---	---	22,072	22,430	22,468	---	163,906	59,244	157,427	---	5,490	4,848	6,739	
08/10/2020	17:44:50	1,00		---	20,729	20,683	20,702	---	21,000	21,000	21,000	---	---	---	---	---	---	22,076	22,444	22,457	---	163,945	59,209	157,447	---	5,536	4,803	6,618	
08/10/2020	17:44:50	1,25		---	20,743	20,772	20,733	---	21,000	21,000	21,000	---	---	---	---	---	---	22,068	22,402	22,440	---	163,927	59,238	157,477	---	5,578	4,703	6,809	
08/10/2020	17:44:50	1,50		---	20,703	20,691	20,722	---	21,000	21,000	21,000	---	---	---	---	---	---	22,090	22,440	22,445	---	163,910	59,181	157,453	---	5,455	4,815	6,879	
08/10/2020	17:44:51	1,75		---	20,727	20,650	20,696	---	21,000	21,000	21,000	---	---	---	---	---	---	22,076	22,461	22,459	---	163,949	59,178	157,375	---	5,548	4,854	6,605	
08/10/2020	17:44:51	2,00		---	20,743	20,702	20,717	---	21,000	21,000	21,000	---	---	---	---	---	---	22,068	22,436	22,448	---	163,929	59,152	157,399	---	5,515	4,802	6,556	
08/10/2020	17:44:51	2,25		---	20,751	20,755	20,729	---	21,000	21,000	21,000	---	---	---	---	---	---	22,063	22,409	22,441	---	163,945	59,223	157,417	---	5,627	4,882	6,614	
08/10/2020	17:44:51	2,50		---	20,740	20,613	20,694	---	21,000	21,000	21,000	---	---	---	---	---	---	22,069	22,479	22,461	---	163,919	59,221	157,442	---	5,464	4,907	7,027	
08/10/2020	17:44:52	2,75		---	20,723	20,654	20,683	---	21,000	21,000	21,000	---	---	---	---	---	---	22,079	22,458	22,466	---	163,930	59,261	157,423	---	5,569	4,895	6,619	
08/10/2020	17:44:52	3,00		---	20,727	20,652	20,726	---	21,000	21,000	21,000	---	---	---	---	---	---	22,076	22,459	22,444	---	163,902	59,250	157,389	---	5,448	4,718	6,569	
08/10/2020	17:44:52	3,25		---	20,719	20,704	20,700	---	21,000	21,000	21,000	---	---	---	---	---	---	22,080	22,434	22,458	---	163,925	59,236	157,442	---	5,587	4,938	6,989	
08/10/2020	17:44:52	3,50		---	20,706	20,636	20,744	---	21,000	21,000	21,000	---	---	---	---	---	---	22,087	22,468	22,434	---	163,947	59,193	157,419	---	5,422	4,824	6,846	
08/10/2020	17:44:53	3,75		---	20,714	20,729	20,715	---	21,000	21,000	21,000	---	---	---	---	---	---	22,083	22,423	22,450	---	163,938	59,270	157,408	---	5,523	4,816	6,667	
08/10/2020	17:44:53	4,00		---	20,727	20,739	20,733	---	21,000	21,000	21,000	---	---	---	---	---	---	22,076	22,417	22,440	---	163,985	59,270	157,391	---	5,502	4,665	6,715	
08/10/2020	17:44:53	4,25		---	20,712	20,658	20,704	---	21,000	21,000	21,000	---	---	---	---	---	---	22,084	22,457	22,455	---	163,942	59,226	157,438	---	5,567	4,850	6,856	
