
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3,317	with	FireStingO2	(Firmware	3,10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-536-206	3	OFF	12,000	OFF	998	0,000	10%	400x	10	OFF	2,00	
Ch 3	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-501-213	3	OFF	12,000	OFF	998	0,000	10%	400x	10	OFF	2,00	
Ch 4	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-532-206	3	OFF	12,000	OFF	998	0,000	10%	400x	10	OFF	2,00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0,000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	52,587	22,237	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	44,848	22,566	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	51,947	22,603	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Data	Smoothing:	1	
Date:	13/10/2020	
			 		Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
13/10/2020	17:33:05	0,00		---	21,064	21,522	20,975	---	12,000	12,000	12,000	---	---	---	---	---	---	23,066	23,115	23,483	---	172,179	66,051	160,828	---	5,047	13,766	6,162	
13/10/2020	17:33:06	0,30		---	21,077	21,473	20,975	---	12,000	12,000	12,000	---	---	---	---	---	---	23,059	23,138	23,483	---	172,156	66,054	160,837	---	4,958	13,695	6,089	
13/10/2020	17:33:06	0,50		---	21,102	21,495	20,973	---	12,000	12,000	12,000	---	---	---	---	---	---	23,045	23,128	23,485	---	172,186	66,004	160,852	---	4,975	13,584	6,126	
13/10/2020	17:33:06	0,75		---	21,066	21,465	20,973	---	12,000	12,000	12,000	---	---	---	---	---	---	23,065	23,142	23,485	---	172,149	66,041	160,828	---	4,981	13,613	6,155	
13/10/2020	17:33:06	1,00		---	21,082	21,393	20,984	---	12,000	12,000	12,000	---	---	---	---	---	---	23,056	23,177	23,479	---	172,201	65,999	160,837	---	4,992	13,646	6,169	
13/10/2020	17:33:07	1,25		---	21,090	21,446	21,005	---	12,000	12,000	12,000	---	---	---	---	---	---	23,052	23,152	23,468	---	172,139	66,011	160,830	---	5,118	13,608	6,134	
13/10/2020	17:33:07	1,50		---	21,102	21,452	20,975	---	12,000	12,000	12,000	---	---	---	---	---	---	23,045	23,149	23,483	---	172,139	66,043	160,817	---	5,050	13,626	6,227	
13/10/2020	17:33:07	1,75		---	21,086	21,482	20,963	---	12,000	12,000	12,000	---	---	---	---	---	---	23,055	23,135	23,490	---	172,160	66,027	160,833	---	5,040	13,655	6,188	
13/10/2020	17:33:07	2,00		---	21,099	21,478	20,973	---	12,000	12,000	12,000	---	---	---	---	---	---	23,048	23,136	23,485	---	172,130	66,112	160,820	---	5,038	13,731	6,112	
13/10/2020	17:33:08	2,25		---	21,082	21,516	20,992	---	12,000	12,000	12,000	---	---	---	---	---	---	23,056	23,118	23,475	---	172,182	66,057	160,865	---	5,071	13,729	6,185	
13/10/2020	17:33:08	2,50		---	21,084	21,435	20,970	---	12,000	12,000	12,000	---	---	---	---	---	---	23,055	23,156	23,486	---	172,158	66,095	160,791	---	5,030	13,636	6,097	
13/10/2020	17:33:08	2,75		---	21,115	21,537	20,963	---	12,000	12,000	12,000	---	---	---	---	---	---	23,038	23,108	23,490	---	172,166	66,050	160,804	---	5,074	13,637	6,138	
13/10/2020	17:33:08	3,00		---	21,084	21,533	20,977	---	12,000	12,000	12,000	---	---	---	---	---	---	23,055	23,111	23,482	---	172,154	66,053	160,805	---	4,995	13,575	6,147	
13/10/2020	17:33:09	3,25		---	21,099	21,488	20,950	---	12,000	12,000	12,000	---	---	---	---	---	---	23,048	23,131	23,497	---	172,158	66,027	160,822	---	5,067	13,758	6,145	
