
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3,317	with	FireStingO2	(Firmware	3,10)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 2	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-536-206	3	OFF	13,600	OFF	1008	0,000	10%	400x	10	OFF	2,00	
Ch 3	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-501-213	3	OFF	13,600	OFF	1008	0,000	10%	400x	10	OFF	2,00	
Ch 4	Oxygen Minisensor (normal range, fast)	raw value	ON	YA7-532-206	3	OFF	13,600	OFF	1008	0,000	10%	400x	10	OFF	2,00	
Temp.	Sensor	Measuring	Time (ms):	200	Offset ('C):	0,000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	Toffset(K)	
Ch 2	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	52,587	22,237	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Ch 3	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	44,848	22,566	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Ch 4	0% Calibration	Air with 100% Humidity or Air Saturated Water	21,000	21,000	1006	100,000	20,950	51,947	22,603	0,817	0,106	4000	0,953	-0,070	0,000	0,000	-0,000301	0,000	
Data	Smoothing:	1	
Date:	15/10/2020	
			 		Oxygen	Oxygen	Oxygen	Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
15/10/2020	11:09:21	0,00		---	19,698	20,415	19,651	---	13,600	13,600	13,600	---	---	---	---	---	---	23,524	23,367	23,917	---	178,800	67,212	169,406	---	5,177	75,727	6,930	
15/10/2020	11:09:21	0,32		---	19,715	20,431	19,634	---	13,600	13,600	13,600	---	---	---	---	---	---	23,514	23,358	23,927	---	178,804	67,236	169,546	---	5,068	75,643	7,034	
15/10/2020	11:09:21	0,50		---	19,693	20,472	19,624	---	13,600	13,600	13,600	---	---	---	---	---	---	23,527	23,339	23,934	---	178,815	67,238	169,535	---	5,093	75,683	6,928	
15/10/2020	11:09:22	0,75		---	19,705	20,429	19,653	---	13,600	13,600	13,600	---	---	---	---	---	---	23,520	23,360	23,916	---	178,820	67,232	169,485	---	5,111	75,672	7,019	
15/10/2020	11:09:22	1,00		---	19,696	20,587	19,615	---	13,600	13,600	13,600	---	---	---	---	---	---	23,525	23,281	23,938	---	178,835	67,252	169,546	---	5,154	75,716	6,907	
15/10/2020	11:09:22	1,25		---	19,713	20,411	19,634	---	13,600	13,600	13,600	---	---	---	---	---	---	23,516	23,368	23,927	---	178,850	67,275	169,548	---	5,145	75,688	6,935	
15/10/2020	11:09:22	1,50		---	19,693	20,411	19,677	---	13,600	13,600	13,600	---	---	---	---	---	---	23,527	23,368	23,902	---	178,813	67,222	169,503	---	5,208	75,725	6,928	
15/10/2020	11:09:23	1,75		---	19,690	20,387	19,646	---	13,600	13,600	13,600	---	---	---	---	---	---	23,530	23,381	23,920	---	178,783	67,248	169,552	---	5,224	75,723	6,926	
15/10/2020	11:09:23	2,00		---	19,688	20,461	19,639	---	13,600	13,600	13,600	---	---	---	---	---	---	23,531	23,343	23,924	---	178,830	67,251	169,513	---	5,193	75,734	6,943	
15/10/2020	11:09:23	2,25		---	19,693	20,455	19,649	---	13,600	13,600	13,600	---	---	---	---	---	---	23,527	23,347	23,919	---	178,856	67,232	169,542	---	5,162	75,689	6,951	
15/10/2020	11:09:23	2,50		---	19,693	20,573	19,615	---	13,600	13,600	13,600	---	---	---	---	---	---	23,527	23,288	23,938	---	178,805	67,247	169,533	---	5,105	75,743	6,872	
15/10/2020	11:09:24	2,75		---	19,725	20,480	19,649	---	13,600	13,600	13,600	---	---	---	---	---	---	23,509	23,334	23,919	---	178,850	67,199	169,473	---	5,200	75,689	7,007	
15/10/2020	11:09:24	3,00		---	19,703	20,433	19,625	---	13,600	13,600	13,600	---	---	---	---	---	---	23,521	23,357	23,933	---	178,863	67,193	169,572	---	5,120	75,671	6,939	
15/10/2020	11:09:24	3,25		---	19,688	20,417	19,631	---	13,600	13,600	13,600	---	---	---	---	---	---	23,531	23,365	23,930	---	178,871	67,233	169,565	---	5,125	75,687	7,065	
15/10/2020	11:09:24	3,50		---	19,686	20,619	19,651	---	13,600	13,600	13,600	---	---	---	---	---	---	23,531	23,266	23,917	---	178,850	67,225	169,503	---	5,150	75,696	6,979	
15/10/2020	11:09:25	3,75		---	19,729	20,520	19,671	---	13,600	13,600	13,600	---	---	---	---	---	---	23,506	23,315	23,906	---	178,833	67,252	169,490	---	5,163	75,680	6,918	
15/10/2020	11:09:25	4,00		---	19,707	20,550	19,648	---	13,600	13,600	13,600	---	---	---	---	---	---	23,520	23,299	23,920	---	178,882	67,236	169,535	---	5,168	75,671	6,996	
15/10/2020	11:09:25	4,25		---	19,701	20,516	19,653	---	13,600	13,600	13,600	---	---	---	---	---	---	23,523	23,316	23,916	---	178,871	67,206	169,561	---	5,167	75,642	6,969	
15/10/2020	11:09:25	4,50		---	19,703	20,381	19,637	---	13,600	13,600	13,600	---	---	---	---	---	---	23,521	23,384	23,926	---	178,822	67,228	169,526	---	5,225	75,676	6,925	
15/10/2020	11:09:26	4,75		---	19,715	20,470	19,639	---	13,600	13,600	13,600	---	---	---	---	---	---	23,514	23,340	23,924	---	178,850	67,258	169,496	---	5,129	75,664	6,936	
15/10/2020	11:09:26	5,00		---	19,676	20,453	19,612	---	13,600	13,600	13,600	---	---	---	---	---	---	23,538	23,347	23,940	---	178,837	67,209	169,542	---	5,165	75,714	6,924	
15/10/2020	11:09:26	5,25		---	19,705	20,421	19,656	---	13,600	13,600	13,600	---	---	---	---	---	---	23,520	23,364	23,915	---	178,835	67,222	169,466	---	5,180	75,705	6,962	
15/10/2020	11:09:26	5,50		---	19,705	20,589	19,651	---	13,600	13,600	13,600	---	---	---	---	---	---	23,520	23,281	23,917	---	178,845	67,258	169,423	---	5,241	75,716	6,929	
15/10/2020	11:09:27	5,75		---	19,707	20,565	19,629	---	13,600	13,600	13,600	---	---	---	---	---	---	23,520	23,292	23,930	---	178,861	67,234	169,509	---	5,186	75,723	6,972	
15/10/2020	11:09:27	6,00		---	19,698	20,552	19,644	---	13,600	13,600	13,600	---	---	---	---	---	---	23,524	23,298	23,922	---	178,856	67,308	169,460	---	5,158	75,755	6,943	
15/10/2020	11:09:27	6,25		---	19,708	20,562	19,644	---	13,600	13,600	13,600	---	---	---	---	---	---	23,518	23,294	23,922	---	178,841	67,253	169,501	---	5,219	75,700	7,107	
15/10/2020	11:09:27	6,50		---	19,712	20,397	19,634	---	13,600	13,600	13,600	---	---	---	---	---	---	23,517	23,375	23,927	---	178,815	67,210	169,524	---	5,136	75,721	6,957	
15/10/2020	11:09:28	6,75		---	19,685	20,575	19,646	---	13,600	13,600	13,600	---	---	---	---	---	---	23,533	23,288	23,920	---	178,861	67,186	169,572	---	5,144	75,746	6,926	
15/10/2020	11:09:28	7,00		---	19,693	20,405	19,670	---	13,600	13,600	13,600	---	---	---	---	---	---	23,527	23,371	23,906	---	178,804	67,186	169,479	---	5,167	75,726	6,972	
15/10/2020	11:09:28	7,25		---	19,703	20,579	19,622	---	13,600	13,600	13,600	---	---	---	---	---	---	23,521	23,285	23,934	---	178,813	67,231	169,468	---	5,095	75,756	6,892	
15/10/2020	11:09:28	7,50		---	19,679	20,538	19,639	---	13,600	13,600	13,600	---	---	---	---	---	---	23,535	23,305	23,924	---	178,798	67,222	169,574	---	5,172	75,863	6,943	
15/10/2020	11:09:29	7,75		---	19,735	20,500	19,632	---	13,600	13,600	13,600	---	---	---	---	---	---	23,503	23,325	23,929	---	178,804	67,239	169,470	---	5,109	75,829	6,956	
15/10/2020	11:09:29	8,00		---	19,695	20,516	19,663	---	13,600	13,600	13,600	---	---	---	---	---	---	23,527	23,316	23,910	---	178,837	67,197	169,432	---	5,178	75,858	6,949	
15/10/2020	11:09:29	8,25		---	19,713	20,534	19,619	---	13,600	13,600	13,600	---	---	---	---	---	---	23,516	23,308	23,937	---	178,863	67,221	169,561	---	5,188	75,932	6,937	
15/10/2020	11:09:29	8,50		---	19,715	20,492	19,673	---	13,600	13,600	13,600	---	---	---	---	---	---	23,514	23,329	23,905	---	178,830	67,250	169,460	---	5,152	75,999	7,041	
15/10/2020	11:09:30	8,75		---	19,710	20,516	19,622	---	13,600	13,600	13,600	---	---	---	---	---	---	23,517	23,316	23,934	---	178,848	67,232	169,542	---	5,146	76,070	6,938	
15/10/2020	11:09:30	9,00		---	19,722	20,522	19,619	---	13,600	13,600	13,600	---	---	---	---	---	---	23,510	23,313	23,937	---	178,798	67,207	169,511	---	5,138	76,144	6,914	
15/10/2020	11:09:30	9,25		---	19,705	20,484	19,648	---	13,600	13,600	13,600	---	---	---	---	---	---	23,520	23,333	23,920	---	178,841	67,219	169,444	---	5,132	76,085	6,886	
15/10/2020	11:09:30	9,50		---	19,691	20,522	19,639	---	13,600	13,600	13,600	---	---	---	---	---	---	23,528	23,313	23,924	---	178,832	67,259	169,544	---	5,174	76,041	6,899	
15/10/2020	11:09:31	9,75		---	19,707	20,528	19,658	---	13,600	13,600	13,600	---	---	---	---	---	---	23,520	23,311	23,913	---	178,878	67,218	169,481	---	5,081	76,033	7,053	
